ticker,source_etf,region
SHW,SPY,developed
ABNB,SPY,developed
EMR,SPY,developed
NOC,SPY,developed
MMM,SPY,developed
CI,SPY,developed
EQIX,SPY,developed
CVS,SPY,developed
FTNT,SPY,developed
HWM,SPY,developed
FI,SPY,developed
AON,SPY,developed
PNC,SPY,developed
UPS,SPY,developed
ECL,SPY,developed
MAR,SPY,developed
ITW,SPY,developed
AJG,SPY,developed
RSG,SPY,developed
MSI,SPY,developed
BK,SPY,developed
USB,SPY,developed
WMB,SPY,developed
CL,SPY,developed
VST,SPY,developed
NEM,SPY,developed
PYPL,SPY,developed
JCI,SPY,developed
ZTS,SPY,developed
EOG,SPY,developed
CSX,SPY,developed
ADSK,SPY,developed
ELV,SPY,developed
APD,SPY,developed
AZO,SPY,developed
HLT,SPY,developed
WDAY,SPY,developed
NSC,SPY,developed
KMI,SPY,developed
TEL,SPY,developed
PWR,SPY,developed
DLR,SPY,developed
AEP,SPY,developed
REGN,SPY,developed
ROP,SPY,developed
FCX,SPY,developed
MNST,SPY,developed
CMG,SPY,developed
CARR,SPY,developed
TRV,SPY,developed
AXON,SPY,developed
TFC,SPY,developed
URI,SPY,developed
NXPI,SPY,developed
COR,SPY,developed
NDAQ,SPY,developed
SPG,SPY,developed
FDX,SPY,developed
AFL,SPY,developed
FAST,SPY,developed
GLW,SPY,developed
SRE,SPY,developed
PAYX,SPY,developed
MPC,SPY,developed
PCAR,SPY,developed
BDX,SPY,developed
DDOG,SPY,developed
O,SPY,developed
SLB,SPY,developed
OKE,SPY,developed
PSX,SPY,developed
LHX,SPY,developed
ALL,SPY,developed
MET,SPY,developed
PSA,SPY,developed
CMI,SPY,developed
GWW,SPY,developed
D,SPY,developed
GM,SPY,developed
AMP,SPY,developed
CTVA,SPY,developed
SQ,SPY,developed
EW,SPY,developed
TGT,SPY,developed
CCI,SPY,developed
CBRE,SPY,developed
KDP,SPY,developed
IDXX,SPY,developed
KR,SPY,developed
ROST,SPY,developed
BKR,SPY,developed
CPRT,SPY,developed
EXC,SPY,developed
AIG,SPY,developed
PEG,SPY,developed
OXY,SPY,developed
FANG,SPY,developed
VLO,SPY,developed
F,SPY,developed
DHI,SPY,developed
GRMN,SPY,developed
MSCI,SPY,developed
FIS,SPY,developed
KVUE,SPY,developed
TTD,SPY,developed
XEL,SPY,developed
KMB,SPY,developed
TTWO,SPY,developed
CCL,SPY,developed
AME,SPY,developed
YUM,SPY,developed
CSGP,SPY,developed
RMD,SPY,developed
ETR,SPY,developed
EA,SPY,developed
ROK,SPY,developed
CHTR,SPY,developed
VRSK,SPY,developed
SYY,SPY,developed
HSY,SPY,developed
MCHP,SPY,developed
CAH,SPY,developed
FICO,SPY,developed
ED,SPY,developed
CTSH,SPY,developed
LVS,SPY,developed
SMCI,SPY,developed
TRGP,SPY,developed
PRU,SPY,developed
VMC,SPY,developed
EBAY,SPY,developed
HIG,SPY,developed
DAL,SPY,developed
LYV,SPY,developed
MPWR,SPY,developed
DXCM,SPY,developed
MLM,SPY,developed
VICI,SPY,developed
WEC,SPY,developed
IR,SPY,developed
RJF,SPY,developed
OTIS,SPY,developed
KHC,SPY,developed
EL,SPY,developed
A,SPY,developed
GEHC,SPY,developed
EQT,SPY,developed
WBD,SPY,developed
NUE,SPY,developed
IQV,SPY,developed
WAB,SPY,developed
STT,SPY,developed
NRG,SPY,developed
EXR,SPY,developed
XYL,SPY,developed
ACGL,SPY,developed
ODFL,SPY,developed
PCG,SPY,developed
TSCO,SPY,developed
DD,SPY,developed
STZ,SPY,developed
STX,SPY,developed
BRO,SPY,developed
MTB,SPY,developed
VTR,SPY,developed
EFX,SPY,developed
HUM,SPY,developed
WTW,SPY,developed
LEN,SPY,developed
UAL,SPY,developed
IRM,SPY,developed
BR,SPY,developed
KEYS,SPY,developed
IP,SPY,developed
DTE,SPY,developed
FITB,SPY,developed
AVB,SPY,developed
ROL,SPY,developed
K,SPY,developed
HPE,SPY,developed
AWK,SPY,developed
AEE,SPY,developed
GIS,SPY,developed
PPL,SPY,developed
IT,SPY,developed
SYF,SPY,developed
ADM,SPY,developed
MTD,SPY,developed
WRB,SPY,developed
VLTO,SPY,developed
TDY,SPY,developed
LULU,SPY,developed
NTRS,SPY,developed
CBOE,SPY,developed
EQR,SPY,developed
CNP,SPY,developed
DOV,SPY,developed
VRSN,SPY,developed
ATO,SPY,developed
EXE,SPY,developed
HBAN,SPY,developed
SBAC,SPY,developed
WDC,SPY,developed
SW,SPY,developed
ON,SPY,developed
JBL,SPY,developed
ES,SPY,developed
PTC,SPY,developed
FE,SPY,developed
PPG,SPY,developed
HPQ,SPY,developed
DLTR,SPY,developed
DRI,SPY,developed
CDW,SPY,developed
CHD,SPY,developed
TYL,SPY,developed
CPAY,SPY,developed
CINF,SPY,developed
GDDY,SPY,developed
HUBB,SPY,developed
WSM,SPY,developed
DG,SPY,developed
ULTA,SPY,developed
RF,SPY,developed
TROW,SPY,developed
EXPE,SPY,developed
PHM,SPY,developed
TPL,SPY,developed
TPR,SPY,developed
STE,SPY,developed
AMCR,SPY,developed
LH,SPY,developed
DVN,SPY,developed
LII,SPY,developed
CMS,SPY,developed
NVR,SPY,developed
CFG,SPY,developed
NTAP,SPY,developed
PODD,SPY,developed
LDOS,SPY,developed
KEY,SPY,developed
TRMB,SPY,developed
GPN,SPY,developed
EIX,SPY,developed
NI,SPY,developed
LYB,SPY,developed
INVH,SPY,developed
MKC,SPY,developed
FSLR,SPY,developed
HAL,SPY,developed
STLD,SPY,developed
TSN,SPY,developed
L,SPY,developed
DGX,SPY,developed
BIIB,SPY,developed
WY,SPY,developed
GEN,SPY,developed
IFF,SPY,developed
ZBH,SPY,developed
CTRA,SPY,developed
GPC,SPY,developed
RL,SPY,developed
ERIE,SPY,developed
WST,SPY,developed
PKG,SPY,developed
WAT,SPY,developed
ESS,SPY,developed
MAA,SPY,developed
PFG,SPY,developed
TER,SPY,developed
DOW,SPY,developed
FFIV,SPY,developed
J,SPY,developed
ZBRA,SPY,developed
FTV,SPY,developed
SNA,SPY,developed
LNT,SPY,developed
PNR,SPY,developed
DECK,SPY,developed
LUV,SPY,developed
BALL,SPY,developed
EVRG,SPY,developed
DPZ,SPY,developed
BG,SPY,developed
HRL,SPY,developed
FDS,SPY,developed
CLX,SPY,developed
EXPD,SPY,developed
INCY,SPY,developed
CF,SPY,developed
KIM,SPY,developed
ALGN,SPY,developed
APTV,SPY,developed
HOLX,SPY,developed
BAX,SPY,developed
COO,SPY,developed
BLDR,SPY,developed
OMC,SPY,developed
BF.B,SPY,developed
EG,SPY,developed
ALLE,SPY,developed
JBHT,SPY,developed
BBY,SPY,developed
MAS,SPY,developed
TXT,SPY,developed
TKO,SPY,developed
ARE,SPY,developed
AVY,SPY,developed
PAYC,SPY,developed
REG,SPY,developed
UDR,SPY,developed
BEN,SPY,developed
CNC,SPY,developed
JKHY,SPY,developed
MRNA,SPY,developed
SOLV,SPY,developed
IEX,SPY,developed
NDSN,SPY,developed
DOC,SPY,developed
CPT,SPY,developed
FOX,SPY,developed
FOXA,SPY,developed
POOL,SPY,developed
SJM,SPY,developed
GL,SPY,developed
CHRW,SPY,developed
MOS,SPY,developed
WYNN,SPY,developed
HST,SPY,developed
AKAM,SPY,developed
NWSA,SPY,developed
DVA,SPY,developed
RVTY,SPY,developed
BXP,SPY,developed
SWKS,SPY,developed
VTRS,SPY,developed
PNW,SPY,developed
HAS,SPY,developed
SWK,SPY,developed
NCLH,SPY,developed
UHS,SPY,developed
MGM,SPY,developed
GNRC,SPY,developed
HII,SPY,developed
TAP,SPY,developed
WBA,SPY,developed
AOS,SPY,developed
CPB,SPY,developed
IVZ,SPY,developed
EPAM,SPY,developed
DAY,SPY,developed
AIZ,SPY,developed
AES,SPY,developed
IPG,SPY,developed
PARA,SPY,developed
TECH,SPY,developed
CAG,SPY,developed
KMX,SPY,developed
HSIC,SPY,developed
MOH,SPY,developed
CRL,SPY,developed
EMN,SPY,developed
MTCH,SPY,developed
ALB,SPY,developed
LW,SPY,developed
FRT,SPY,developed
MKTX,SPY,developed
LKQ,SPY,developed
MHK,SPY,developed
APA,SPY,developed
NWS,SPY,developed
CZR,SPY,developed
ENPH,SPY,developed
ASML,VGK,developed
ASML.AS,VGK,developed
SAP,VGK,developed
SAP.DE,VGK,developed
SIE.DE,VGK,developed
ALV.DE,VGK,developed
DTE.DE,VGK,developed
MBG.DE,VGK,developed
BMW.DE,VGK,developed
BAS.DE,VGK,developed
VOW3.DE,VGK,developed
ADS.DE,VGK,developed
MUV2.DE,VGK,developed
DB1.DE,VGK,developed
CBK.DE,VGK,developed
HEN3.DE,VGK,developed
PAH3.DE,VGK,developed
AZN,VGK,developed
AZN.L,VGK,developed
SHEL.L,VGK,developed
SHEL,VGK,developed
HSBA.L,VGK,developed
ULVR.L,VGK,developed
DGE.L,VGK,developed
BP.L,VGK,developed
GSK.L,VGK,developed
RIO.L,VGK,developed
LSEG.L,VGK,developed
NG.L,VGK,developed
BARC.L,VGK,developed
LLOY.L,VGK,developed
VOD.L,VGK,developed
PRU.L,VGK,developed
BT-A.L,VGK,developed
REL.L,VGK,developed
AV.L,VGK,developed
RKT.L,VGK,developed
IMB.L,VGK,developed
BA.L,VGK,developed
GLEN.L,VGK,developed
AAL.L,VGK,developed
EXPN.L,VGK,developed
CRDA.L,VGK,developed
BDEV.L,VGK,developed
RR.L,VGK,developed
STAN.L,VGK,developed
LGEN.L,VGK,developed
INF.L,VGK,developed
SSE.L,VGK,developed
NESN.SW,VGK,developed
NOVN.SW,VGK,developed
ROG.SW,VGK,developed
UHR.SW,VGK,developed
UBSG.SW,VGK,developed
ABBN.SW,VGK,developed
ZURN.SW,VGK,developed
CSGN.SW,VGK,developed
GIVN.SW,VGK,developed
SREN.SW,VGK,developed
SCMN.SW,VGK,developed
LONN.SW,VGK,developed
SLHN.SW,VGK,developed
GEBN.SW,VGK,developed
MC.PA,VGK,developed
OR.PA,VGK,developed
TTE.PA,VGK,developed
SAN.PA,VGK,developed
AIR.PA,VGK,developed
BNP.PA,VGK,developed
SAF.PA,VGK,developed
SU.PA,VGK,developed
EL.PA,VGK,developed
CS.PA,VGK,developed
CAP.PA,VGK,developed
DG.PA,VGK,developed
BN.PA,VGK,developed
VIV.PA,VGK,developed
RI.PA,VGK,developed
EN.PA,VGK,developed
SGO.PA,VGK,developed
GLE.PA,VGK,developed
ACA.PA,VGK,developed
DSY.PA,VGK,developed
KER.PA,VGK,developed
RMS.PA,VGK,developed
STM.PA,VGK,developed
AI.PA,VGK,developed
NOVO-B.CO,VGK,developed
ORSTED.CO,VGK,developed
DSV.CO,VGK,developed
MAERSK-B.CO,VGK,developed
COLB.CO,VGK,developed
DEMANT.CO,VGK,developed
GMAB.CO,VGK,developed
VWS.CO,VGK,developed
TRYG.CO,VGK,developed
JYSK.CO,VGK,developed
ITX.MC,VGK,developed
IBE.MC,VGK,developed
SAN.MC,VGK,developed
BBVA.MC,VGK,developed
TEF.MC,VGK,developed
REP.MC,VGK,developed
AMS.MC,VGK,developed
ENG.MC,VGK,developed
FER.MC,VGK,developed
IAG.MC,VGK,developed
CABK.MC,VGK,developed
SAB.MC,VGK,developed
GRF.MC,VGK,developed
ENI.MI,VGK,developed
ISP.MI,VGK,developed
ENEL.MI,VGK,developed
UCG.MI,VGK,developed
G.MI,VGK,developed
TIT.MI,VGK,developed
STM.MI,VGK,developed
RACE.MI,VGK,developed
MB.MI,VGK,developed
LDO.MI,VGK,developed
BAMI.MI,VGK,developed
TEN.MI,VGK,developed
PRY.MI,VGK,developed
CNHI.MI,VGK,developed
VOLV-B.ST,VGK,developed
ERIC-B.ST,VGK,developed
AZN.ST,VGK,developed
ABB.ST,VGK,developed
ATCO-A.ST,VGK,developed
SEB-A.ST,VGK,developed
HM-B.ST,VGK,developed
SAND.ST,VGK,developed
SWED-A.ST,VGK,developed
ASSA-B.ST,VGK,developed
INVE-B.ST,VGK,developed
HEXA-B.ST,VGK,developed
ESSITY-B.ST,VGK,developed
EQNR.OL,VGK,developed
DNB.OL,VGK,developed
MOWI.OL,VGK,developed
TEL.OL,VGK,developed
ORK.OL,VGK,developed
YAR.OL,VGK,developed
SALM.OL,VGK,developed
NOKIA.HE,VGK,developed
NESTE.HE,VGK,developed
FORTUM.HE,VGK,developed
STERV.HE,VGK,developed
UPM.HE,VGK,developed
SAMPO.HE,VGK,developed
ABI.BR,VGK,developed
KBC.BR,VGK,developed
UCB.BR,VGK,developed
ACKB.BR,VGK,developed
SOLB.BR,VGK,developed
CRH.I,VGK,developed
SMDS.I,VGK,developed
FLT.I,VGK,developed
RYA.I,VGK,developed
GLEN.I,VGK,developed
CPL.I,VGK,developed
EDP.LS,VGK,developed
GALP.LS,VGK,developed
BCP.LS,VGK,developed
JERONIMO.LS,VGK,developed
OMV.VI,VGK,developed
VOE.VI,VGK,developed
ANDR.VI,VGK,developed
POST.VI,VGK,developed
PKO.WA,VGK,developed
PZU.WA,VGK,developed
PEO.WA,VGK,developed
PKN.WA,VGK,developed
KGH.WA,VGK,developed
OPAP.AT,VGK,developed
ALPHA.AT,VGK,developed
ETE.AT,VGK,developed
PPC.AT,VGK,developed
TSM,VWO,emerging
2330.TW,VWO,emerging
2454.TW,VWO,emerging
2317.TW,VWO,emerging
2882.TW,VWO,emerging
2308.TW,VWO,emerging
2303.TW,VWO,emerging
1301.TW,VWO,emerging
2412.TW,VWO,emerging
2881.TW,VWO,emerging
3711.TW,VWO,emerging
2886.TW,VWO,emerging
2002.TW,VWO,emerging
2891.TW,VWO,emerging
BABA,VWO,emerging
9988.HK,VWO,emerging
0700.HK,VWO,emerging
PDD,VWO,emerging
JD,VWO,emerging
9618.HK,VWO,emerging
BIDU,VWO,emerging
NTES,VWO,emerging
LI,VWO,emerging
NIO,VWO,emerging
XPEV,VWO,emerging
BILI,VWO,emerging
BEKE,VWO,emerging
ZTO,VWO,emerging
TME,VWO,emerging
3690.HK,VWO,emerging
2020.HK,VWO,emerging
0939.HK,VWO,emerging
1024.HK,VWO,emerging
0388.HK,VWO,emerging
0941.HK,VWO,emerging
1109.HK,VWO,emerging
2269.HK,VWO,emerging
0968.HK,VWO,emerging
1398.HK,VWO,emerging
3988.HK,VWO,emerging
0267.HK,VWO,emerging
0883.HK,VWO,emerging
2318.HK,VWO,emerging
0016.HK,VWO,emerging
1299.HK,VWO,emerging
0175.HK,VWO,emerging
0027.HK,VWO,emerging
1093.HK,VWO,emerging
0688.HK,VWO,emerging
0992.HK,VWO,emerging
2313.HK,VWO,emerging
6098.HK,VWO,emerging
1810.HK,VWO,emerging
0823.HK,VWO,emerging
2382.HK,VWO,emerging
0960.HK,VWO,emerging
1876.HK,VWO,emerging
2331.HK,VWO,emerging
0669.HK,VWO,emerging
RELIANCE.NS,VWO,emerging
HDFCBANK.NS,VWO,emerging
INFY,VWO,emerging
TCS.NS,VWO,emerging
ICICIBANK.NS,VWO,emerging
HINDUNILVR.NS,VWO,emerging
BHARTIARTL.NS,VWO,emerging
ITC.NS,VWO,emerging
KOTAKBANK.NS,VWO,emerging
LT.NS,VWO,emerging
SBIN.NS,VWO,emerging
AXISBANK.NS,VWO,emerging
WIPRO,VWO,emerging
ASIANPAINT.NS,VWO,emerging
MARUTI.NS,VWO,emerging
HCLTECH.NS,VWO,emerging
BAJFINANCE.NS,VWO,emerging
TITAN.NS,VWO,emerging
ULTRACEMCO.NS,VWO,emerging
SUNPHARMA.NS,VWO,emerging
NESTLEIND.NS,VWO,emerging
M&M.NS,VWO,emerging
TATAMOTORS.NS,VWO,emerging
ONGC.NS,VWO,emerging
NTPC.NS,VWO,emerging
POWERGRID.NS,VWO,emerging
COALINDIA.NS,VWO,emerging
JSWSTEEL.NS,VWO,emerging
TECHM.NS,VWO,emerging
VALE,VWO,emerging
ITUB,VWO,emerging
PBR,VWO,emerging
BBD,VWO,emerging
ABEV,VWO,emerging
NU,VWO,emerging
BBAS3.SA,VWO,emerging
PETR4.SA,VWO,emerging
VALE3.SA,VWO,emerging
ITUB4.SA,VWO,emerging
BBDC4.SA,VWO,emerging
ABEV3.SA,VWO,emerging
WEGE3.SA,VWO,emerging
RENT3.SA,VWO,emerging
SUZB3.SA,VWO,emerging
RAIL3.SA,VWO,emerging
JBSS3.SA,VWO,emerging
BBSE3.SA,VWO,emerging
LREN3.SA,VWO,emerging
GGBR4.SA,VWO,emerging
EMBR3.SA,VWO,emerging
KB,VWO,emerging
SHG,VWO,emerging
PKX,VWO,emerging
005930.KS,VWO,emerging
000660.KS,VWO,emerging
035420.KS,VWO,emerging
051910.KS,VWO,emerging
005380.KS,VWO,emerging
035720.KS,VWO,emerging
012330.KS,VWO,emerging
068270.KS,VWO,emerging
006400.KS,VWO,emerging
207940.KS,VWO,emerging
105560.KS,VWO,emerging
055550.KS,VWO,emerging
028260.KS,VWO,emerging
015760.KS,VWO,emerging
032830.KS,VWO,emerging
003550.KS,VWO,emerging
WALMEX.MX,VWO,emerging
FEMSA.MX,VWO,emerging
GFNORTE.MX,VWO,emerging
AMX,VWO,emerging
GMEXICOB.MX,VWO,emerging
ASUR.MX,VWO,emerging
BIMBOA.MX,VWO,emerging
ELEKTRA.MX,VWO,emerging
CEMEX.MX,VWO,emerging
TLEVISA.MX,VWO,emerging
ALFAA.MX,VWO,emerging
KIMBERA.MX,VWO,emerging
NPN.JO,VWO,emerging
PRX.JO,VWO,emerging
AGL.JO,VWO,emerging
SHP.JO,VWO,emerging
ABG.JO,VWO,emerging
BHP.JO,VWO,emerging
SOL.JO,VWO,emerging
CFR.JO,VWO,emerging
BTI.JO,VWO,emerging
VOD.JO,VWO,emerging
SLM.JO,VWO,emerging
NED.JO,VWO,emerging
FSR.JO,VWO,emerging
ANG.JO,VWO,emerging
BBCA.JK,VWO,emerging
BBRI.JK,VWO,emerging
TLKM.JK,VWO,emerging
ASII.JK,VWO,emerging
BMRI.JK,VWO,emerging
UNVR.JK,VWO,emerging
BBNI.JK,VWO,emerging
KLBF.JK,VWO,emerging
PGAS.JK,VWO,emerging
ICBP.JK,VWO,emerging
HMSP.JK,VWO,emerging
GGRM.JK,VWO,emerging
PTT.BK,VWO,emerging
CPALL.BK,VWO,emerging
AOT.BK,VWO,emerging
SCB.BK,VWO,emerging
KBANK.BK,VWO,emerging
BBL.BK,VWO,emerging
ADVANC.BK,VWO,emerging
TRUE.BK,VWO,emerging
PTTEP.BK,VWO,emerging
SCC.BK,VWO,emerging
TOP.BK,VWO,emerging
BDMS.BK,VWO,emerging
MAYBANK.KL,VWO,emerging
CIMB.KL,VWO,emerging
PBBANK.KL,VWO,emerging
TENAGA.KL,VWO,emerging
MISC.KL,VWO,emerging
PETGAS.KL,VWO,emerging
IHH.KL,VWO,emerging
DIGI.KL,VWO,emerging
AXIATA.KL,VWO,emerging
SIME.KL,VWO,emerging
IOICORP.KL,VWO,emerging
NESTLE.KL,VWO,emerging
BDO.PS,VWO,emerging
SM.PS,VWO,emerging
BPI.PS,VWO,emerging
SMPH.PS,VWO,emerging
ALI.PS,VWO,emerging
MER.PS,VWO,emerging
JGS.PS,VWO,emerging
TEL.PS,VWO,emerging
GLO.PS,VWO,emerging
AC.PS,VWO,emerging
SECB.PS,VWO,emerging
URC.PS,VWO,emerging
SQM,VWO,emerging
ENIA.SN,VWO,emerging
COPEC.SN,VWO,emerging
FALABELLA.SN,VWO,emerging
CMPC.SN,VWO,emerging
CENCOSUD.SN,VWO,emerging
SCCO,VWO,emerging
BAP,VWO,emerging
FERREYCORP.LM,VWO,emerging
VOLCAN.LM,VWO,emerging
ECOPETROL.CN,VWO,emerging
PFBCOLOM.CN,VWO,emerging
NUTRESA.CN,VWO,emerging
ISA.CN,VWO,emerging
THYAO.IS,VWO,emerging
AKBNK.IS,VWO,emerging
GARAN.IS,VWO,emerging
EREGL.IS,VWO,emerging
SAHOL.IS,VWO,emerging
BIMAS.IS,VWO,emerging
YKBNK.IS,VWO,emerging
SISE.IS,VWO,emerging
PETKM.IS,VWO,emerging
TUPRS.IS,VWO,emerging
KCHOL.IS,VWO,emerging
KOZAL.IS,VWO,emerging
PKNORLEN.WA,VWO,emerging
KGHM.WA,VWO,emerging
PEKAO.WA,VWO,emerging
PGE.WA,VWO,emerging
LOTOS.WA,VWO,emerging
ORANGE.WA,VWO,emerging
CEZ.PR,VWO,emerging
KOMERCNI.PR,VWO,emerging
MONETA.PR,VWO,emerging
OTP.BD,VWO,emerging
MOL.BD,VWO,emerging
RICHTER.BD,VWO,emerging
COMI.CA,VWO,emerging
ETEL.CA,VWO,emerging
ADNOC.AD,VWO,emerging
FAB.AD,VWO,emerging
ALDAR.AD,VWO,emerging
QNBK.QA,VWO,emerging
MARK.QA,VWO,emerging
VNM.HM,VWO,emerging
VIC.HM,VWO,emerging
HPG.HM,VWO,emerging
VCB.HM,VWO,emerging
TCB.HM,VWO,emerging
OGDC.KA,VWO,emerging
MCB.KA,VWO,emerging
HBL.KA,VWO,emerging
SQURPHARMA.DH,VWO,emerging
GPHL.DH,VWO,emerging
